IsoDatetime,SOURCEBUS.1,SOURCEBUS.2,SOURCEBUS.3
2022-09-17T13:55:00,(1.0267306975911816+0j),(-0.51876612724594+0.8985292896357099j),(-0.5227192980941833-0.9053763823958672j)
2022-09-17T14:00:00,(1.0209543882098266+0j),(-0.5170222493749236+0.8955088045609143j),(-0.5194257741170331-0.8996718315314969j)
2022-09-17T14:05:30,(1.0286135866655672+0j),(-0.5204624940848154+0.9014674831889169j),(-0.5215887057809178-0.9034181390666447j)
2022-09-17T14:10:00,(1.0267869269619911+0j),(-0.52215242756251+0.9043945338336956j),(-0.5244599169968545-0.9083912227719085j)
2022-09-17T14:15:00,(1.0322303310160381+0j),(-0.5242223163298647+0.9079796863447699j),(-0.5232738117982124-0.906336828304739j)
2022-09-17T14:20:00,(1.0325161555348346+0j),(-0.5208781405793206+0.9021874040353878j),(-0.5228424790718933-0.9055897381077871j)
2022-09-17T14:25:00,(1.0340486829553763+0j),(-0.5211482656518335+0.9026552743853784j),(-0.5241845152379118-0.9079142129329261j)
2022-09-17T14:30:00,(1.0290476955332823+0j),(-0.5197350041404651+0.9002074336433069j),(-0.5222378930201841-0.9045425643486793j)
2022-09-17T14:35:00,(1.0286126912841325+0j),(-0.5193949127548256+0.8996183780841627j),(-0.5213816213626984-0.9030594583328326j)
2022-09-17T14:40:00,(1.0245493935922283+0j),(-0.5188097529839442+0.8986048516304508j),(-0.5193206205706479-0.8994897002465616j)
2022-09-17T14:45:00,(1.0236961600578278+0j),(-0.5145844754068876+0.891286456190907j),(-0.5192027465900445-0.8992855365232663j)
2022-09-17T14:50:00,(1.0126595358452162+0j),(-0.5152287786041788+0.8924024220640947j),(-0.5182095079730724-0.8975651967746312j)
2022-09-17T14:55:00,(1.0184231995726543+0j),(-0.519495077569908+0.899791868633016j),(-0.5196854031658675-0.9001215222351989j)
2022-09-17T15:00:00,(1.0215992744759732+0j),(-0.5177156942018641+0.8967098862334212j),(-0.5190741369688459-0.899062778125008j)
2022-09-17T15:05:00,(1.0199058302751138+0j),(-0.5170065174523175+0.8954815560716599j),(-0.5181287555874864-0.8974253295399636j)
2022-09-17T15:10:00,(1.0244391767031695+0j),(-0.517679440564449+0.8966470930914591j),(-0.5199708169375424-0.9006158733889197j)
2022-09-17T15:15:00,(1.0273920684247062+0j),(-0.5203306953235725+0.9012392010380695j),(-0.5231205650128314-0.9060713970863625j)
2022-09-17T15:20:00,(1.0250089615330142+0j),(-0.5200244770540909+0.9007088154371218j),(-0.5206640228050334-0.901816541171519j)
2022-09-17T15:25:00,(1.0152681317260486+0j),(-0.5130248074680864+0.8885850320779675j),(-0.5160052701375467-0.8937473448515348j)
2022-09-17T15:30:00,(1.0160287756740645+0j),(-0.5147073603528071+0.8914992991607251j),(-0.5163997761251935-0.8944306492660292j)
2022-09-17T15:35:00,(1.021677205250312+0j),(-0.5187095183574942+0.8984312401647618j),(-0.5210213365665692-0.9024354267607425j)
2022-09-17T15:40:00,(1.0178026316070299+0j),(-0.5161176493774468+0.8939419914047576j),(-0.5173866186697393-0.8961399106922533j)
2022-09-17T15:45:00,(1.0174241652448273+0j),(-0.5118780774046647+0.8865988373455541j),(-0.5156969718943235-0.893213356630388j)
2022-09-17T15:50:00,(1.0192449999501179+0j),(-0.512687403223394+0.8880006307834707j),(-0.5186498914380272-0.8983279633107458j)
2022-09-17T15:55:00,(1.0175422568828563+0j),(-0.5135503431425229+0.8894952865672814j),(-0.516302568084348-0.8942622800003808j)
2022-09-17T16:00:00,(1.0143923955412129+0j),(-0.5133601861581091+0.8891659250088623j),(-0.5136819667664192-0.889723265371346j)
2022-09-17T16:05:00,(1.0174676400334073+0j),(-0.5173371650607865+0.8960542545289292j),(-0.517389929672587-0.8961456455174095j)
2022-09-17T16:10:00,(1.0226356001139265+0j),(-0.5154655402672046+0.8928125052937399j),(-0.5167011166746143-0.8949525864080068j)
2022-09-17T16:15:00,(1.0151838453888553+0j),(-0.513342309894475+0.889134962411999j),(-0.5143176032941934-0.8908242201325977j)
2022-09-17T16:20:00,(1.0075322820271768+0j),(-0.514847732881989+0.8917424315132553j),(-0.5150871832942201-0.8921571717931328j)
2022-09-17T16:25:00,(1.0097632736385926+0j),(-0.510679430455567+0.8845227199293795j),(-0.5141573807450132-0.8905467065368993j)
2022-09-17T16:30:00,(1.0271367252519654+0j),(-0.5185816096299822+0.8982096957499794j),(-0.520094425863418-0.9008299703288053j)
2022-09-17T16:35:00,(1.0258732164909998+0j),(-0.5206975894735688+0.9018746803468631j),(-0.5207437276403057-0.9019545939958196j)
2022-09-17T16:40:00,(1.0270778330649162+0j),(-0.5197564284565456+0.9002445416472756j),(-0.5210811811610373-0.9025390806389196j)
